waypoints
x, y
1018.41, 1152.87
1018.59, 1152.94
1018.77, 1153.02
1018.97, 1153.1
1019.18, 1153.18
1019.39, 1153.28
1019.62, 1153.37
1019.86, 1153.47
1020.1, 1153.57
1020.35, 1153.68
1020.6, 1153.78
1020.87, 1153.89
1021.13, 1154.01
1021.4, 1154.12
1021.67, 1154.23
1021.95, 1154.35
1022.22, 1154.46
1022.49, 1154.58
1022.77, 1154.69
1023.04, 1154.81
1023.31, 1154.92
1023.58, 1155.03
1023.84, 1155.14
1024.1, 1155.25
1024.35, 1155.36
1024.6, 1155.46
1024.84, 1155.56
1025.08, 1155.66
1025.31, 1155.76
1025.54, 1155.85
1025.76, 1155.95
1025.95, 1156.03
1026.16, 1156.11
1026.37, 1156.2
1026.57, 1156.28
1026.78, 1156.36
1026.8, 1156.37
1026.83, 1156.38
1026.86, 1156.4
1026.9, 1156.41
1026.95, 1156.43
1027, 1156.46
1027.07, 1156.48
1027.15, 1156.52
1027.24, 1156.55
1027.34, 1156.59
1027.46, 1156.64
1027.59, 1156.69
1027.73, 1156.75
1027.89, 1156.82
1028.06, 1156.89
1028.25, 1156.96
1028.44, 1157.04
1028.65, 1157.13
1028.87, 1157.22
1029.11, 1157.32
1029.35, 1157.41
1029.6, 1157.52
1029.86, 1157.62
1030.12, 1157.73
1030.4, 1157.84
1030.67, 1157.95
1030.96, 1158.07
1031.24, 1158.19
1031.53, 1158.3
1031.82, 1158.42
1032.11, 1158.54
1032.39, 1158.66
1032.68, 1158.77
1032.96, 1158.89
1033.24, 1159
1033.52, 1159.12
1033.79, 1159.22
1034.05, 1159.33
1034.31, 1159.44
1034.56, 1159.54
1034.8, 1159.64
1035.04, 1159.74
1035.27, 1159.83
1035.5, 1159.92
1035.71, 1160.01
1035.93, 1160.1
1036.14, 1160.18
1036.34, 1160.27
1036.54, 1160.35
